activity_id,wbs_id,description,discipline,location,equipment_id,planned_start,planned_finish,planned_progress,actual_progress,actual_start,actual_finish,target_quantity,actual_quantity,unit,status
PIP-L6-0427,1.2.3.1.1,Erect Line 24-inch near V-105,Piping,V-105,V-105,2026-03-01,2026-03-15,100.0,0.0,,,14.0,0.0,spools,NOT_STARTED
PIP-L6-0501,1.2.3.1.2,Fit-up and weld 16-inch suction line at Pump P-101A,Piping,Pump House PH-1,P-101A,2026-02-10,2026-02-25,100.0,50.0,2026-02-11,,8.0,4.0,joints,IN_PROGRESS
PIP-L6-0502,1.2.3.1.2,Fit-up and weld 16-inch suction line at Pump P-101B,Piping,Pump House PH-1,P-101B,2026-02-15,2026-03-02,100.0,0.0,,,8.0,0.0,joints,NOT_STARTED
CIV-L6-0112,1.2.1.1.1,Pour RCC foundation for Booster Pump P-101A,Civil,Pump House PH-1,P-101A,2026-01-20,2026-02-05,100.0,100.0,2026-01-22,2026-02-04,45.0,45.0,cum,COMPLETED
CIV-L6-0113,1.2.1.1.1,Pour RCC foundation for Booster Pump P-101B,Civil,Pump House PH-1,P-101B,2026-01-25,2026-02-10,100.0,100.0,2026-01-27,2026-02-09,45.0,45.0,cum,COMPLETED
PIP-L6-1001,1.2.3.1,Hydrostatic testing of Line 8-inch near V-105,Piping,V-105,FIT-204,2026-01-18,2026-02-02,100.0,100.0,2026-01-17,2026-02-02,25.0,25.0,joints,COMPLETED
PIP-L6-1002,1.2.3.1,Hydrostatic testing of Line 8-inch near V-102,Piping,V-102,PIT-108,2026-03-25,2026-04-03,18.4,0.0,,,47.0,0.0,joints,NOT_STARTED
PIP-L6-1003,1.2.3.1,Hydrostatic testing of Line 8-inch near Pump House PH-1,Piping,Pump House PH-1,V-105,2026-02-11,2026-02-25,100.0,100.0,2026-02-13,2026-02-24,42.0,42.0,joints,COMPLETED
PIP-L6-1004,1.2.3.1,Hydrostatic testing of Line 12-inch near Pump House PH-2,Piping,Pump House PH-2,VS-04,2026-03-25,2026-04-14,19.0,0.0,,,24.0,0.0,joints,NOT_STARTED
PIP-L6-1005,1.2.3.1,Hydrostatic testing of Line 8-inch near Compressor Shed CS-A,Piping,Compressor Shed CS-A,K-201,2026-02-04,2026-02-24,100.0,100.0,2026-02-04,2026-02-24,31.0,31.0,joints,COMPLETED
PIP-L6-1006,1.2.3.1,Hydrostatic testing of Line 16-inch near Tank Farm TF-3,Piping,Tank Farm TF-3,P-101B,2026-01-28,2026-02-06,100.0,100.0,2026-01-26,2026-02-07,34.0,34.0,joints,COMPLETED
PIP-L6-1007,1.2.3.1,Hydrostatic testing of Line 30-inch near Scraper Station SS-01,Piping,Scraper Station SS-01,TK-301,2026-02-17,2026-02-25,100.0,100.0,2026-02-19,2026-02-24,39.0,39.0,joints,COMPLETED
PIP-L6-1008,1.2.3.1,Hydrostatic testing of Line 8-inch near Metering Skid MS-02,Piping,Metering Skid MS-02,TK-302,2026-03-26,2026-04-11,22.4,0.0,,,50.0,0.0,joints,NOT_STARTED
PIP-L6-1009,1.2.3.1.2,Erection and torqueing of flange joints on TK-301,Piping,V-105,TK-301,2026-02-08,2026-02-17,100.0,100.0,2026-02-11,2026-02-17,5.0,5.0,joints,COMPLETED
PIP-L6-1010,1.2.3.1.2,Erection and torqueing of flange joints on K-201,Piping,V-102,K-201,2026-02-13,2026-02-23,100.0,100.0,2026-02-13,2026-02-25,16.0,16.0,joints,COMPLETED
PIP-L6-1011,1.2.3.1.2,Erection and torqueing of flange joints on FIT-204,Piping,Pump House PH-1,FIT-204,2026-02-04,2026-02-22,100.0,100.0,2026-02-03,2026-02-26,15.0,15.0,joints,COMPLETED
PIP-L6-1012,1.2.3.1.2,Erection and torqueing of flange joints on K-201,Piping,Pump House PH-2,K-201,2026-02-05,2026-03-01,47.4,34.7,2026-02-05,,11.0,3.8,joints,IN_PROGRESS
PIP-L6-1013,1.2.3.1.2,Erection and torqueing of flange joints on FIT-204,Piping,Compressor Shed CS-A,FIT-204,2026-02-12,2026-03-12,77.9,67.9,2026-02-12,,14.0,9.5,joints,IN_PROGRESS
PIP-L6-1014,1.2.3.1.2,Erection and torqueing of flange joints on P-101B,Piping,Tank Farm TF-3,P-101B,2026-02-24,2026-03-15,43.0,39.5,2026-02-24,,12.0,4.7,joints,IN_PROGRESS
PIP-L6-1015,1.2.3.1.2,Erection and torqueing of flange joints on MOT-101,Piping,Scraper Station SS-01,MOT-101,2026-02-11,2026-03-10,57.8,53.2,2026-02-11,,19.0,10.1,joints,IN_PROGRESS
PIP-L6-1016,1.2.3.1.2,Erection and torqueing of flange joints on SK-01,Piping,Metering Skid MS-02,SK-01,2026-02-17,2026-02-28,73.5,58.0,2026-02-17,,11.0,6.4,joints,IN_PROGRESS
PIP-L6-1017,1.2.3.1.1,Installation of 24-inch tie-in spool at V-105,Piping,V-105,PIT-108,2026-03-10,2026-04-04,17.2,0.0,,,8.0,0.0,spools,NOT_STARTED
PIP-L6-1018,1.2.3.1.1,Installation of 24-inch tie-in spool at V-102,Piping,V-102,P-101A,2026-03-19,2026-03-28,27.2,0.0,,,2.0,0.0,spools,NOT_STARTED
PIP-L6-1019,1.2.3.1.1,Installation of 24-inch tie-in spool at Pump House PH-1,Piping,Pump House PH-1,P-101A,2026-03-10,2026-04-05,17.7,0.0,,,3.0,0.0,spools,NOT_STARTED
PIP-L6-1020,1.2.3.1.1,Installation of 24-inch tie-in spool at Pump House PH-2,Piping,Pump House PH-2,MOT-101,2026-03-23,2026-04-07,27.2,0.0,,,10.0,0.0,spools,NOT_STARTED
